## relaxation vs temperature ans omega
## constant radiation damping removed (102s)
## zero fork width got from 0 rad/s data fit

# omega  fork     relaxation
0.000000 42.580000 0.045337
0.000000 218.770000 0.193187
0.000000 251.320000 0.210690
0.000000 57.650000 0.060141
0.000000 62.300000 0.058820
0.000000 76.590000 0.073044
0.000000 437.140000 0.380601
0.000000 113.730000 0.103770
0.000000 299.710000 0.262041
0.000000 308.350000 0.263799
0.000000 336.880000 0.295486
0.000000 80.840000 0.075027
0.000000 300.740000 0.294848
0.000000 300.740000 0.296186
0.000000 439.970000 0.384344
0.000000 117.170000 0.104317
0.000000 240.350000 0.211307
0.000000 245.800000 0.230584
0.000000 128.650000 0.124517
0.000000 137.000000 0.124522
0.000000 336.900000 0.296316
0.000000 95.880000 0.088695
0.000000 254.560000 0.231261
0.000000 168.570000 0.147442
0.000000 198.410000 0.174607
0.000000 198.540000 0.173993
0.000000 348.650000 0.345569
0.000000 385.950000 0.336896
0.000000 386.420000 0.337010
0.000000 98.890000 0.089322
0.000000 369.270000 0.347011
0.000000 168.670000 0.147386
0.000000 219.260000 0.186818
0.000000 103.389800 0.093267
0.000000 104.909800 0.096041
0.000000 51.569800 0.047483
0.000000 52.329800 0.047546
0.000000 66.229800 0.059850
0.000000 68.849800 0.061508
0.000000 96.149800 0.086432
0.000000 97.699800 0.087526
0.000000 147.079800 0.132079
0.000000 245.189800 0.223086
0.000000 250.449800 0.228616
0.000000 391.219800 0.353670
0.000000 394.879800 0.364358
0.000000 219.429800 0.204158
0.000000 223.459800 0.208817
0.000000 295.349800 0.271596
0.000000 304.979800 0.280546
0.000000 402.589800 0.370593
0.000000 413.209800 0.376026
0.000000 568.759800 0.518125
0.000000 592.899800 0.530548
0.000000 844.339800 0.762101
0.000000 866.839800 0.783606
0.000000 152.370000 0.132427
0.000000 82.550000 0.074868
0.000000 183.750000 0.159051
0.000000 184.850000 0.160311
0.000000 309.520000 0.268658
0.000000 348.120000 0.304647
0.000000 390.150000 0.338690
0.000000 395.420000 0.344016
0.000000 313.930000 0.270403
0.000000 86.460000 0.074910
0.000000 119.960000 0.104435
0.000000 268.460000 0.231114
0.000000 35.960000 0.033728
0.000000 349.930000 0.302216
0.000000 120.220000 0.103981
0.000000 225.640000 0.192572
0.000000 269.140000 0.229209
0.000000 35.260000 0.033130
0.000000 62.090000 0.056671
0.000000 62.570000 0.057336
0.000000 154.000000 0.131208
0.000000 225.090000 0.187935
0.000000 54.670000 0.053970
0.000000 88.060000 0.080272
0.000000 240.060000 0.212999
0.000000 128.840000 0.114205
0.000000 159.640000 0.140761
0.000000 159.820000 0.141452
0.000000 48.060000 0.048070
0.000000 66.160000 0.061576
0.000000 241.030000 0.214813
0.000000 413.590000 0.364979
