# 20121120: relax vs freq
# Omega=1.5rad/s, Hmin=500mA, P=15.6bar, fork2=~70mHz
# smoothed data

823555.470333 0.898041
823682.901000 0.912054
823787.792000 0.915694
823889.682667 0.917023
823987.697667 0.921604
824088.666667 0.932575
824187.590667 0.950314
824285.495333 0.966224
824386.909667 0.959230
824487.594333 0.931350
824587.805333 0.917709
824639.728000 0.912574
824742.910667 0.914756
824847.939667 0.934184
824941.259667 0.947408
825048.063333 0.958824
825142.197000 0.971243
825244.571333 0.966223
825343.204667 0.936171
825444.404000 0.898083
825545.913000 0.870674
825740.333667 0.916394
825835.397000 0.925971
825938.338667 0.931039
826040.103667 0.945057
826134.014333 0.963555
826238.916667 0.972483
826339.872000 0.967723
826439.561000 0.963044
826538.845667 0.958998
826644.609500 0.940200
826751.284333 0.911837
826852.240000 0.905491
826952.637000 0.912109
827054.002000 0.935850
827154.427333 0.973410
827256.269333 0.984928
827353.988667 0.966910
827454.558667 0.951034
827554.931333 0.939204
827735.584333 0.886622
827833.308000 0.875605
827936.028667 0.864286
828035.102333 0.859497
828136.225333 0.879334
828237.262667 0.912909
828337.357000 0.934519
828439.273333 0.926499
828540.397667 0.916019
828639.232333 0.911868
828734.334667 0.910687
828836.320667 0.895404
828937.683667 0.874461
829037.359333 0.854895
829135.160667 0.855616
829236.278000 0.869763
829338.957333 0.881790
829442.153667 0.896797
829538.257667 0.903480
829641.190000 0.887957
829714.632000 0.874335
829815.778000 0.879699
829915.656333 0.911315
830014.929000 0.929789
830115.478667 0.908682
830213.121667 0.864267
830327.614000 0.841084
830429.377667 0.842076
830529.501333 0.851706
830613.376333 0.864266
830759.725333 0.893430
830862.607667 0.886350
830950.977667 0.890944
831051.773333 0.907473
831159.186333 0.907306
831250.758333 0.889181
831364.288667 0.861385
831459.320667 0.853639
831547.410000 0.855651
831673.588750 0.856870
831754.151800 0.861102
831944.825400 0.864845
832067.465000 0.868118
832197.648333 0.883349
832293.696000 0.882353
832450.484500 0.842692
832591.396667 0.827587
832760.359667 0.854543
832852.395667 0.815975
832947.844000 0.808943
833060.950000 0.842459
833155.226667 0.859270
833248.600333 0.878346
833359.305333 0.901837
833453.230333 0.891293
833564.941333 0.852483
833675.351667 0.837906
833807.707333 0.834808
833931.355500 0.839102
834059.982600 0.848073
834232.050000 0.872277
834304.075500 0.890557
834442.399600 0.900732
834500.937000 0.887254
834613.512667 0.842505
834771.014000 0.906459
