## relaxation vs temperature and omega
## constant radiation damping removed (102s)
## zero fork width got from 0 rad/s data fit

# omega  fork     relaxation
0.000000 2.394091 0.006199
0.000000 4.137100 0.006489
0.000000 8.294448 0.008112
0.000000 16.533615 0.011986
0.000000 24.745611 0.018948
0.000000 39.409474 0.026368
0.000000 59.120116 0.037879
0.000000 87.868783 0.051759
0.000000 108.367342 0.069552
0.000000 506.251830 0.318115
0.000000 833.519890 0.542736
0.000000 985.307041 0.633200
0.000000 716.868168 0.490770
0.000000 549.128550 0.373914
0.000000 424.291128 0.295015
0.000000 320.635463 0.230630
0.000000 238.312669 0.157685
0.000000 189.167331 0.114712
0.000000 98.771625 0.062730
0.000000 220.534601 0.134364
0.000000 260.608346 0.143567
0.000000 323.150043 0.197907
0.000000 318.331212 0.197736
0.000000 313.700411 0.193472
0.000000 408.093185 0.249085
0.000000 1028.816793 0.659769
0.000000 1010.491793 0.650264
0.000000 902.351793 0.585573
0.000000 787.776793 0.529254
0.000000 694.226793 0.456665
0.000000 618.946793 0.407614
0.000000 534.211793 0.365935
0.000000 484.346793 0.314231
0.000000 421.001793 0.283551
0.000000 369.231793 0.226012
0.000000 312.861793 0.202482
0.000000 268.216793 0.173320
0.000000 236.931793 0.150905
0.000000 203.296793 0.140761
0.000000 246.576793 0.160795
0.000000 288.616793 0.186323
0.000000 334.601793 0.202431
0.000000 388.126793 0.250604
0.000000 444.401793 0.290052
0.000000 510.161793 0.333051
0.000000 583.601793 0.373103
0.000000 593.341793 0.412868
0.000000 646.171793 0.442401
0.000000 696.611793 0.469992
0.000000 749.331793 0.496257
0.000000 796.736793 0.534336
0.000000 860.941793 0.564339
0.000000 921.431793 0.597104
0.000000 984.666793 0.643826
0.000000 883.956793 0.576338
0.000000 784.451793 0.522034
0.000000 692.331793 0.457532
0.000000 609.231793 0.415599
0.000000 533.506793 0.365711
0.000000 495.496793 0.348025
0.000000 460.696793 0.332667
0.000000 418.496793 0.303261
1.500000 7.926793 0.960436
1.500000 9.324293 0.979238
1.500000 16.079293 1.005655
1.500000 25.551793 0.983758
1.500000 42.201793 1.028775
1.500000 59.194293 0.975254
1.500000 82.326793 1.033313
1.500000 102.691793 1.027283
1.500000 129.469293 1.074032
1.500000 157.811793 1.115407
1.500000 193.534293 1.120871
1.500000 236.424293 1.138907
1.500000 288.459293 1.160558
1.500000 349.404293 1.255152
1.500000 418.901793 1.267935
1.500000 458.794293 1.332862
1.500000 506.154293 1.337971
1.500000 551.254293 1.352169
1.500000 588.986793 1.395757
1.500000 645.979293 1.503838
1.500000 706.829293 1.561185
1.500000 773.921793 1.597386
1.500000 835.429293 1.610809
1.500000 727.009293 1.540620
1.500000 620.919293 1.434832
1.500000 528.276793 1.388206
1.500000 458.184293 1.344030
1.500000 388.536793 1.223169
1.500000 324.326793 1.230919
1.500000 269.971793 1.201867
1.500000 222.814293 1.113020
1.000000 17.299293 0.676009
1.000000 26.359293 0.621995
1.000000 63.304293 0.659457
1.000000 109.611793 0.709116
1.000000 179.426793 0.795075
1.000000 253.279293 0.803302
1.000000 341.744293 0.907503
1.000000 419.514293 0.970744
1.000000 511.631793 1.023049
1.000000 556.596793 1.061436
1.000000 617.716793 1.109385
1.000000 688.524293 1.155045
1.000000 761.351793 1.190194
1.000000 836.861793 1.186125
1.000000 919.626793 1.278425
1.000000 1008.259293 1.299957
1.000000 1106.926793 1.365993
1.000000 992.596793 1.327645
1.000000 920.474293 1.362197
1.000000 852.666793 1.260035
1.000000 789.944293 1.213319
1.000000 730.874293 1.151860
1.000000 654.144293 1.141763
1.000000 603.644293 1.087036
1.000000 554.879293 1.057569
1.000000 509.926793 1.021419
1.000000 469.374293 1.022060
1.000000 398.114293 0.969834
1.000000 329.531793 0.901081
1.000000 268.971793 0.877256
0.250000 1.609293 0.147995
0.250000 4.179293 0.170043
0.250000 8.824293 0.142499
0.250000 16.514293 0.145022
0.250000 23.156793 0.168488
0.250000 29.286793 0.176904
0.250000 38.329293 0.159243
0.250000 49.976793 0.184588
0.250000 66.769293 0.180668
0.250000 74.656793 0.197567
0.250000 84.261793 0.184204
0.250000 95.194293 0.226693
0.250000 105.124293 0.235697
0.250000 119.806793 0.214178
0.250000 132.404293 0.248991
0.250000 151.614293 0.240055
0.250000 183.724293 0.285748
0.250000 200.981793 0.304104
0.250000 223.514293 0.308006
0.250000 245.096793 0.326564
0.250000 272.159293 0.329182
0.250000 296.054293 0.386300
0.250000 326.026793 0.394728
0.250000 350.919293 0.388431
0.250000 377.834293 0.432993
0.250000 413.091793 0.456509
0.250000 449.749293 0.526282
0.250000 491.616793 0.470749
0.250000 536.461793 0.482503
0.250000 579.126793 0.546912
0.250000 630.476793 0.509937
0.250000 684.354293 0.605520
0.250000 731.149293 0.617154
0.250000 802.519293 0.678530
0.750000 9.046793 0.476738
0.750000 12.871793 0.475410
0.750000 38.334293 0.573899
0.750000 77.171793 0.575468
0.750000 140.159293 0.612585
0.750000 180.036793 0.620501
0.750000 230.456793 0.687558
0.750000 293.766793 0.723934
0.750000 367.171793 0.746557
0.750000 444.746793 0.771737
0.750000 532.481793 0.909341
0.750000 579.911793 0.954986
0.750000 650.186793 0.957442
0.750000 721.986793 1.040993
