# see: /rota/Analysis/PS/osc2013_4bar/RelaxTemp/plot_20130613_f623_e2000_1rad.m
# 20130613, f = 623 kHz, Hmin=2000 mA, P=4.0 bar, 1 rad/s,
# f=625444
#  fork2w, mHz     rel, 1/s

   1.0438200e+03   2.1116961e+00
   8.1225000e+02   1.7436944e+00
   6.1436000e+02   1.4520532e+00
   4.5732000e+02   1.2630489e+00
   5.0139000e+02   1.2448200e+00
   5.3804000e+02   1.2524281e+00
   5.9615000e+02   1.3566662e+00
   6.6286000e+02   1.4623838e+00
   7.4255000e+02   1.5840806e+00
   8.2032000e+02   1.7278767e+00
   9.1740000e+02   1.8836116e+00
   1.0107500e+03   2.0199001e+00
   1.1007700e+03   2.1612369e+00
   1.0531100e+03   2.0968405e+00
   9.7228000e+02   1.9298835e+00
   8.8547000e+02   1.8218354e+00
   8.1067000e+02   1.7006658e+00
   7.6289000e+02   1.6143614e+00
   7.2945000e+02   1.5341823e+00
   6.8539000e+02   1.4800650e+00
   6.2546000e+02   1.3702009e+00
   5.6962000e+02   1.2845050e+00
   5.1523000e+02   1.1979749e+00
   4.6704000e+02   1.2337241e+00
   4.3217000e+02   1.1806097e+00
   3.8583000e+02   1.0918485e+00
   3.4222000e+02   1.1438350e+00
   3.2023000e+02   1.0462965e+00
   3.3848000e+02   1.0512738e+00
   3.1388000e+02   1.0131835e+00
   2.8071000e+02   8.7817978e-01
   2.5160000e+02   8.0433504e-01
   2.2585000e+02   7.1127297e-01
   2.0306000e+02   7.0215893e-01
   1.8332000e+02   7.0102729e-01
   1.6253000e+02   6.5583963e-01
   1.4228000e+02   6.2451951e-01
   1.2515000e+02   6.1546529e-01
   1.0939000e+02   6.2631134e-01
   9.8740000e+01   6.0888843e-01
   9.2060000e+01   6.0811456e-01
   8.7330000e+01   6.4051323e-01
