# see: /rota/Analysis/PS/osc2013_4bar/RelaxTemp/plot_20130613_f623_e2000_1rad.m
# 20130613, f = 623 kHz, Hmin=2000 mA, P=4.0 bar, 1 rad/s,
# f=626181
#  fork2w, mHz     rel, 1/s

   1.0430700e+03   2.1492065e+00
   8.0575000e+02   1.8883281e+00
   6.0956000e+02   2.0293937e+00
   4.5401000e+02   1.8726872e+00
   5.1376000e+02   1.8739014e+00
   5.6503000e+02   2.0082096e+00
   6.2907000e+02   2.0552746e+00
   7.0100000e+02   2.0300653e+00
   7.7837000e+02   1.9214880e+00
   8.6553000e+02   1.8623084e+00
   9.6084000e+02   1.9776251e+00
   1.0588000e+03   2.1355840e+00
   1.0857800e+03   2.1792807e+00
   1.0148100e+03   2.0523767e+00
   9.2970000e+02   1.8963853e+00
   8.4974000e+02   1.8950664e+00
   7.8634000e+02   1.9661739e+00
   7.5025000e+02   2.0776544e+00
   7.0839000e+02   2.0535568e+00
   6.5300000e+02   2.0841279e+00
   5.9711000e+02   2.0573380e+00
   5.4369000e+02   1.9399771e+00
   4.8702000e+02   1.7755335e+00
   4.5242000e+02   1.7019567e+00
   4.0853000e+02   1.5692355e+00
   3.6426000e+02   1.5101816e+00
   3.2654000e+02   1.4091493e+00
   3.1863000e+02   1.4314056e+00
   3.2835000e+02   1.4920808e+00
   2.9751000e+02   1.4531715e+00
   2.6643000e+02   1.4954344e+00
   2.3828000e+02   1.4413999e+00
   2.1417000e+02   1.4051121e+00
   1.9312000e+02   1.3776666e+00
   1.7399000e+02   1.1897878e+00
   1.5170000e+02   1.2355090e+00
   1.3336000e+02   1.1181943e+00
   1.1676000e+02   1.0080239e+00
   1.0327000e+02   8.7088593e-01
   9.5660000e+01   8.4430151e-01
   8.9630000e+01   8.2649478e-01
   8.6160000e+01   8.7684917e-01
